system_id,datetime,value,measure_type_id,QAQC_flag,sensor_id
91,"2017-06-20 18:51:38",68.000,temp_ave,0,PISB
92,"2017-06-20 18:51:38",1442.000,temp_min,0,PISB
93,"2017-06-20 18:51:38",1309.000,temp_max,0,PISB
94,"2017-06-20 18:51:38",55.000,temp_ave,0,PISB
95,"2017-06-20 18:51:55",68.000,temp_ave,0,PISB
96,"2017-06-20 18:51:55",1443.000,temp_min,0,PISB
97,"2017-06-20 18:51:55",1362.000,temp_max,0,PISB
98,"2017-06-20 18:51:55",55.000,temp_ave,0,PISB
99,"2017-06-20 18:52:16",68.000,temp_ave,0,PISB
100,"2017-06-20 18:52:16",1426.000,temp_min,0,PISB
101,"2017-06-20 18:52:16",1354.000,temp_max,0,PISB
102,"2017-06-20 18:52:16",59.000,temp_ave,0,PISB
103,"2017-06-20 18:52:32",68.000,temp_ave,0,PISB
104,"2017-06-20 18:52:32",1437.000,temp_min,0,PISB
105,"2017-06-20 18:52:32",1310.000,temp_max,0,PISB
106,"2017-06-20 18:52:32",57.000,temp_ave,0,PISB
107,"2017-06-20 18:52:50",68.000,temp_ave,0,PISB
108,"2017-06-20 18:52:50",1432.000,temp_min,0,PISB
109,"2017-06-20 18:52:50",1306.000,temp_max,0,PISB
110,"2017-06-20 18:52:50",61.000,temp_ave,0,PISB
111,"2017-06-20 18:53:07",68.000,temp_ave,0,PISB
112,"2017-06-20 18:53:07",1412.000,temp_min,0,PISB
113,"2017-06-20 18:53:07",1328.000,temp_max,0,PISB
114,"2017-06-20 18:53:07",57.000,temp_ave,0,PISB
115,"2017-06-20 18:53:23",68.000,temp_ave,0,PISB
116,"2017-06-20 18:53:24",1414.000,temp_min,0,PISB
117,"2017-06-20 18:53:24",1322.000,temp_max,0,PISB
118,"2017-06-20 18:53:24",57.000,temp_ave,0,PISB
119,"2017-06-20 18:53:41",68.000,temp_ave,0,PISB
120,"2017-06-20 18:53:41",1421.000,temp_min,0,PISB
121,"2017-06-20 18:53:41",1330.000,temp_max,0,PISB
122,"2017-06-20 18:53:41",55.000,temp_ave,0,PISB
123,"2017-06-20 18:53:58",68.000,temp_ave,0,PISB
124,"2017-06-20 18:53:58",1428.000,temp_min,0,PISB
125,"2017-06-20 18:53:58",1355.000,temp_max,0,PISB
126,"2017-06-20 18:53:58",55.000,temp_ave,0,PISB
127,"2017-06-20 18:54:15",68.000,temp_ave,0,PISB
128,"2017-06-20 18:54:15",1454.000,temp_min,0,PISB
129,"2017-06-20 18:54:15",1351.000,temp_max,0,PISB
130,"2017-06-20 18:54:15",55.000,temp_ave,0,PISB
131,"2017-06-20 18:58:40",68.000,temp_ave,0,PISB
132,"2017-06-20 18:58:40",689.000,temp_min,0,PISB
133,"2017-06-20 18:58:40",1096.000,temp_max,0,PISB
134,"2017-06-20 18:58:40",61.000,temp_ave,0,PISB
135,"2017-06-20 19:29:59",68.000,temp_ave,0,PISB
136,"2017-06-20 19:29:59",689.000,temp_min,0,PISB
137,"2017-06-20 19:29:59",1101.000,temp_max,0,PISB
138,"2017-06-20 19:29:59",59.000,temp_ave,0,PISB
139,"2017-06-20 20:01:18",68.000,temp_ave,0,PISB
140,"2017-06-20 20:01:18",693.000,temp_min,0,PISB
141,"2017-06-20 20:01:18",1095.000,temp_max,0,PISB
142,"2017-06-20 20:01:18",59.000,temp_ave,0,PISB
143,"2017-06-20 20:32:37",68.000,temp_ave,0,PISB
144,"2017-06-20 20:32:37",687.000,temp_min,0,PISB
145,"2017-06-20 20:32:37",1092.000,temp_max,0,PISB
146,"2017-06-20 20:32:37",61.000,temp_ave,0,PISB
147,"2017-06-20 21:03:55",68.000,temp_ave,0,PISB
148,"2017-06-20 21:03:55",687.000,temp_min,0,PISB
149,"2017-06-20 21:03:55",1093.000,temp_max,0,PISB
150,"2017-06-20 21:03:55",59.000,temp_ave,0,PISB
151,"2017-06-20 21:35:12",68.000,temp_ave,0,PISB
152,"2017-06-20 21:35:12",685.000,temp_min,0,PISB
153,"2017-06-20 21:35:12",1094.000,temp_max,0,PISB
154,"2017-06-20 21:35:12",61.000,temp_ave,0,PISB
155,"2017-06-20 22:06:32",68.000,temp_ave,0,PISB
156,"2017-06-20 22:06:32",687.000,temp_min,0,PISB
157,"2017-06-20 22:06:32",1098.000,temp_max,0,PISB
158,"2017-06-20 22:06:32",59.000,temp_ave,0,PISB
159,"2017-06-20 22:37:50",68.000,temp_ave,0,PISB
160,"2017-06-20 22:37:50",686.000,temp_min,0,PISB
161,"2017-06-20 22:37:50",1092.000,temp_max,0,PISB
162,"2017-06-20 22:37:50",61.000,temp_ave,0,PISB
163,"2017-06-20 23:09:11",68.000,temp_ave,0,PISB
164,"2017-06-20 23:09:11",687.000,temp_min,0,PISB
165,"2017-06-20 23:09:11",1096.000,temp_max,0,PISB
166,"2017-06-20 23:09:11",61.000,temp_ave,0,PISB
167,"2017-06-20 23:40:29",68.000,temp_ave,0,PISB
168,"2017-06-20 23:40:29",687.000,temp_min,0,PISB
169,"2017-06-20 23:40:29",1093.000,temp_max,0,PISB
170,"2017-06-20 23:40:29",59.000,temp_ave,0,PISB
171,"2017-06-21 00:11:47",68.000,temp_ave,0,PISB
172,"2017-06-21 00:11:47",684.000,temp_min,0,PISB
173,"2017-06-21 00:11:47",1099.000,temp_max,0,PISB
174,"2017-06-21 00:11:47",61.000,temp_ave,0,PISB
175,"2017-06-21 00:43:05",68.000,temp_ave,0,PISB
176,"2017-06-21 00:43:05",689.000,temp_min,0,PISB
177,"2017-06-21 00:43:05",1095.000,temp_max,0,PISB
178,"2017-06-21 00:43:05",59.000,temp_ave,0,PISB
179,"2017-06-21 01:14:22",68.000,temp_ave,0,PISB
180,"2017-06-21 01:14:22",683.000,temp_min,0,PISB
181,"2017-06-21 01:14:22",1085.000,temp_max,0,PISB
182,"2017-06-21 01:14:22",59.000,temp_ave,0,PISB
183,"2017-06-21 01:45:41",68.000,temp_ave,0,PISB
184,"2017-06-21 01:45:41",683.000,temp_min,0,PISB
185,"2017-06-21 01:45:41",1096.000,temp_max,0,PISB
186,"2017-06-21 01:45:41",61.000,temp_ave,0,PISB
187,"2017-06-21 02:16:59",68.000,temp_ave,0,PISB
188,"2017-06-21 02:16:59",678.000,temp_min,0,PISB
189,"2017-06-21 02:16:59",1096.000,temp_max,0,PISB
190,"2017-06-21 02:16:59",61.000,temp_ave,0,PISB
191,"2017-06-21 02:48:18",68.000,temp_ave,0,PISB
192,"2017-06-21 02:48:18",681.000,temp_min,0,PISB
193,"2017-06-21 02:48:18",1102.000,temp_max,0,PISB
194,"2017-06-21 02:48:18",61.000,temp_ave,0,PISB
195,"2017-06-21 03:19:35",68.000,temp_ave,0,PISB
196,"2017-06-21 03:19:35",688.000,temp_min,0,PISB
197,"2017-06-21 03:19:35",1098.000,temp_max,0,PISB
198,"2017-06-21 03:19:35",61.000,temp_ave,0,PISB
199,"2017-06-21 03:50:54",68.000,temp_ave,0,PISB
200,"2017-06-21 03:50:54",679.000,temp_min,0,PISB
201,"2017-06-21 03:50:54",1100.000,temp_max,0,PISB
202,"2017-06-21 03:50:54",61.000,temp_ave,0,PISB
203,"2017-06-21 04:22:12",68.000,temp_ave,0,PISB
204,"2017-06-21 04:22:12",685.000,temp_min,0,PISB
205,"2017-06-21 04:22:12",1088.000,temp_max,0,PISB
206,"2017-06-21 04:22:12",61.000,temp_ave,0,PISB
207,"2017-06-21 04:53:31",68.000,temp_ave,0,PISB
208,"2017-06-21 04:53:31",682.000,temp_min,0,PISB
209,"2017-06-21 04:53:31",1096.000,temp_max,0,PISB
210,"2017-06-21 04:53:31",61.000,temp_ave,0,PISB
211,"2017-06-21 05:24:51",68.000,temp_ave,0,PISB
212,"2017-06-21 05:24:51",680.000,temp_min,0,PISB
213,"2017-06-21 05:24:51",1096.000,temp_max,0,PISB
214,"2017-06-21 05:24:51",61.000,temp_ave,0,PISB
215,"2017-06-21 05:56:09",68.000,temp_ave,0,PISB
216,"2017-06-21 05:56:09",681.000,temp_min,0,PISB
217,"2017-06-21 05:56:09",1096.000,temp_max,0,PISB
218,"2017-06-21 05:56:09",61.000,temp_ave,0,PISB
219,"2017-06-21 06:27:27",68.000,temp_ave,0,PISB
220,"2017-06-21 06:27:27",677.000,temp_min,0,PISB
